Station,Lat,Long,Elev,OBJECTID,.
1027,27.78868,85.89999,884,1,Middle Mountain
1102,27.66667,86.05,1940,2,Hill
1009,27.75378,85.73208,1552,2,Hill
1024,27.61612,85.5655,1543,2,Hill
1103,27.63045,86.23211,1877,2,Hill
1124,27.63333,86.13333,1755,2,Hill
1123,27.3947,86.06123,497,2,Hill
1036,27.6452,85.62096,857,2,Hill
1062,27.68337,85.70658,1194,2,Hill
1016,27.94456,85.59514,2574,1,Middle Mountain
1204,27.35979,86.74866,2064,2,Hill
1418,27.26667,87.71667,1219,2,Hill
1310,26.86667,87.16667,146,3,Siwalik
1209,27.18333,87.05,1595,2,Hill
1303,27.2921,87.31697,1277,2,Hill
1316,26.82044,87.15917,105,7,Tarai
1220,27.48333,86.61667,2770,1,Middle Mountain
1307,26.98322,87.34596,1192,2,Hill
1222,27.21252,86.79189,1612,2,Hill
1227,26.80127,86.69917,179,3,Siwalik
1327,27.39106,87.20438,1064,2,Hill
1201,27.81667,86.71667,3450,5,High Mountain
1301,27.55535,87.2852,1494,1,Middle Mountain
1206,27.30812,86.50423,1731,2,Hill
1401,27.68333,87.78333,3119,6,High Mountain
1304,27.04634,87.2925,1720,2,Hill
1212,26.73667,86.93145,83,3,Siwalik
1419,27.14367,87.7656,1157,2,Hill
1219,27.50512,86.58621,2383,1,Middle Mountain
1225,27.81667,86.71667,3700,5,High Mountain
1405,27.35861,87.67,1744,2,Hill
1404,27.48921,87.77305,1388,1,Middle Mountain
1218,27.83333,86.76667,3857,5,High Mountain
1314,27.12304,87.53619,1525,2,Hill
